Time,Heading,Servo_PW
409,2343,1659
410,2289,1659
411,2261,1659
412,2244,3871
413,2237,3871
414,2250,3871
415,2294,1659
416,2320,1659
417,2312,1659
418,2305,1659
419,2317,1659
420,2363,1659
421,2411,1659
422,2508,1659
423,2591,1659
424,2721,1659
425,2807,1659
426,2937,1659
427,3024,1659
428,3151,1867
429,3219,2003
430,3297,2159
431,3336,2237
432,3382,2329
433,3406,2377
434,3433,2431
435,3447,2459
436,3463,2491
437,3471,2507
438,3481,2527
439,3486,2537
440,3492,2549
441,3495,2555
442,3498,2561
443,3500,2565
444,3502,2569
445,3503,2571
446,3504,2573
447,3505,2575
448,3506,2577
449,3506,2577
450,3507,2579
451,3507,2579
452,3507,2579
453,3507,2579
454,3507,2579
455,3507,2579
456,3508,2581
457,3508,2581
458,3507,2579
459,3508,2581
460,3508,2581
461,3508,2581
462,3508,2581
463,3508,2581
464,3507,2579
465,3508,2581
466,3508,2581
467,3508,2581
468,3508,2581
469,3508,2581
470,3508,2581
471,3507,2579
472,3508,2581
473,3508,2581
474,3508,2581
475,3508,2581
476,3508,2581
477,3507,2579
478,3508,2581
479,3508,2581
480,3508,2581
481,3508,2581
482,3508,2581
483,3507,2579
484,3508,2581
485,3508,2581
486,3507,2579
487,3508,2581
488,3508,2581
489,3507,2579
490,3508,2581
491,3508,2581
492,807,3871
493,795,3871
494,687,3871
495,601,3871
496,470,3705
497,384,3533
498,258,3281
499,191,3147
500,115,2995
501,76,2917
502,31,2827
503,8,2781
504,3581,2727
505,3568,2701
506,3552,2669
507,3544,2653
508,3534,2633
509,3529,2623
510,3524,2613
511,3521,2607
512,3517,2599
513,3515,2595
514,3513,2591
515,3512,2589
516,3511,2587
517,3511,2587
518,3510,2585
519,3509,2583
520,3509,2583
521,3509,2583
522,3508,2581
523,3508,2581
524,3508,2581
525,3508,2581
526,3508,2581
527,3508,2581
528,3508,2581
529,3508,2581
530,3508,2581
531,3508,2581
532,3508,2581
533,3508,2581
534,3508,2581
535,3508,2581
536,3508,2581
537,3507,2579
538,3508,2581
539,3508,2581
540,3507,2579
541,3508,2581
542,3508,2581
543,3507,2579
544,3508,2581
545,3508,2581
546,3507,2579
547,3508,2581
548,3508,2581
549,3508,2581
550,3508,2581
551,3508,2581
552,3507,2579
553,3508,2581
554,3508,2581
555,3508,2581
556,3508,2581
557,3508,2581
558,3507,2579
