Time, Error,Error_sum
430,-92,43411
431,-92,43227
432,-92,42950
433,-92,42766
434,-92,42490
435,-92,42306
436,-92,42030
437,-92,41846
438,-92,41569
439,-92,41385
440,-92,41109
441,-92,40925
442,-92,40649
443,-92,40465
444,-93,40188
445,-92,40004
446,-92,39728
447,-92,39544
448,-92,39268
449,-92,39084
450,-92,38808
451,-92,38623
452,-92,38347
453,-92,38163
454,-92,37887
455,-92,37703
456,-92,37427
457,-93,37242
458,-92,36966
459,-92,36782
460,-92,36506
461,-92,36322
462,-92,36046
463,-92,35862
464,-92,35585
465,-92,35401
466,-92,35125
467,-92,34941
468,-92,34665
469,-92,34481
470,-92,34204
471,-92,34020
472,-92,33744
473,-92,33560
474,-92,33284
475,-92,33100
476,-93,32823
477,-92,32639
478,-92,32363
479,-92,32179
480,-92,31903
481,-92,31719
482,-92,31443
483,-92,31258
484,-92,30982
485,-92,30798
486,-92,30522
487,-92,30338
488,-92,30062
489,-93,29877
490,-92,29601
491,-92,29417
492,-992,28241
493,-980,26269
494,-872,23527
495,-785,21913
496,-655,19817
497,-568,18637
498,-443,17187
499,-376,16404
500,-299,15435
501,-260,14896
502,-216,14207
503,-192,13812
504,-166,13289
505,-152,12978
506,-136,12555
507,-128,12295
508,-118,11932
509,-114,11702
510,-108,11374
511,-105,11163
512,-101,10855
513,-100,10654
514,-98,10359
515,-97,10165
516,-95,9878
517,-95,9688
518,-94,9406
519,-94,9218
520,-93,8938
521,-93,8752
522,-93,8473
523,-93,8287
524,-92,8010
525,-92,7826
526,-92,7550
527,-92,7366
528,-92,7090
529,-92,6906
530,-92,6630
531,-92,6446
532,-93,6169
533,-92,5985
534,-92,5709
535,-92,5525
536,-92,5249
537,-92,5065
538,-92,4789
539,-92,4604
540,-92,4328
541,-92,4144
542,-92,3868
543,-92,3684
544,-92,3408
545,-93,3223
546,-92,2947
547,-92,2763
548,-92,2487
549,-92,2303
550,-92,2027
551,-92,1843
552,-92,1566
553,-92,1382
554,-92,1106
555,-92,922
556,-92,646
557,-92,462
558,-92,185
559,-92,1
560,-92,-275
561,-92,-459
562,-92,-735
563,-92,-919
564,-93,-1196
565,-92,-1380
566,-92,-1656
567,-92,-1840
568,-92,-2116
569,-92,-2300
570,-92,-2576
571,-92,-2761
572,-92,-3037
573,-92,-3221
574,-92,-3497
575,-92,-3681
576,-92,-3957
577,-93,-4142
578,-92,-4418
579,-92,-4602
580,-92,-4878
581,-92,-5062
582,-92,-5338
583,-92,-5522
584,-92,-5799
585,-92,-5983
586,-92,-6259
587,-92,-6443
588,-92,-6719
589,-92,-6903
590,-92,-7180
591,-92,-7364
592,808,-6740
593,795,-5138
594,687,-2951
595,600,-1707
596,470,-166
597,383,644
598,258,1539
599,191,1953
600,115,2369
601,76,2539
602,31,2674
603,8,2701
604,-18,2670
605,-32,2612
606,-48,2483
607,-56,2375
608,-66,2186
609,-71,2047
610,-76,1823
611,-79,1666
612,-83,1420
613,-84,1252
614,-86,995
615,-87,821
616,-89,556
617,-89,378
618,-90,108
619,-90,-72
620,-91,-345
621,-91,-527
622,-91,-800
623,-92,-983
624,-92,-1259
625,-92,-1443
626,-92,-1719
627,-92,-1903
628,-92,-2179
629,-92,-2363
